"action_id","op","src_path","dst_path","notes"
"P05_000001","QUARANTINE","C:\RH\OPS\BUILD\scripts\phase6\Phase6-CanonicalInbox.ps1","C:\RH\TEMPORARY\phase05_low_confidence\BUILD\scripts\phase6\Phase6-CanonicalInbox.ps1","EXECUTED"
"P05_000002","SKIP","C:\RH\OPS\BUILD\scripts\phase6\README_DEPRECATED.md","C:\RH\OPS\BUILD\scripts\phase6\README_DEPRECATED.md","SKIPPED_DEST_EXISTS"
"P05_000003","MOVE","C:\RH\OPS\PROJECTS\RH_MIGRATION_2026_V2.zip","C:\RH\OPS\PROJECTS\PROJECTS\RH_MIGRATION_2026_V2.zip","EXECUTED"
"P05_000004","SKIP","C:\RH\OPS\PROJECTS\oldrh_migration_attempt2\OUTPUTS\_latest_attempt2_output_path.txt","","unsupported_or_review_op:EXCLUDED"
"P05_000005","SKIP","C:\RH\OPS\PROJECTS\oldrh_migration_attempt2\OUTPUTS\attempt2_reset_02-08-2026__025024\attempt1_collapse_causes_02-08-2026.md","","unsupported_or_review_op:EXCLUDED"
"P05_000006","SKIP","C:\RH\OPS\PROJECTS\oldrh_migration_attempt2\OUTPUTS\attempt2_reset_02-08-2026__025024\dryrun_execute_attempt2_moves_02-08-2026.ps1","","unsupported_or_review_op:EXCLUDED"
"P05_000007","SKIP","C:\RH\OPS\PROJECTS\oldrh_migration_attempt2\OUTPUTS\attempt2_reset_02-08-2026__025024\dryrun_output_02-08-2026.txt","","unsupported_or_review_op:EXCLUDED"
"P05_000008","SKIP","C:\RH\OPS\PROJECTS\oldrh_migration_attempt2\OUTPUTS\attempt2_reset_02-08-2026__025024\duplicate_scripts_snapshot_02-08-2026.csv","","unsupported_or_review_op:EXCLUDED"
"P05_000009","SKIP","C:\RH\OPS\PROJECTS\oldrh_migration_attempt2\OUTPUTS\attempt2_reset_02-08-2026__025024\full_destination_move_manifest_02-08-2026.csv","","unsupported_or_review_op:EXCLUDED"
"P05_000010","SKIP","C:\RH\OPS\PROJECTS\oldrh_migration_attempt2\OUTPUTS\attempt2_reset_02-08-2026__025024\knownfolders_snapshot_02-08-2026.csv","","unsupported_or_review_op:EXCLUDED"
"P05_000011","SKIP","C:\RH\OPS\PROJECTS\oldrh_migration_attempt2\OUTPUTS\attempt2_reset_02-08-2026__025024\model_context_packet_02-08-2026.md","","unsupported_or_review_op:EXCLUDED"
"P05_000012","SKIP","C:\RH\OPS\PROJECTS\oldrh_migration_attempt2\OUTPUTS\attempt2_reset_02-08-2026__025024\reality_inventory_02-08-2026.csv","","unsupported_or_review_op:EXCLUDED"
"P05_000013","SKIP","C:\RH\OPS\PROJECTS\oldrh_migration_attempt2\OUTPUTS\attempt2_reset_02-08-2026__025024\test.txt","","unsupported_or_review_op:EXCLUDED"
"P05_000014","SKIP","C:\RH\OPS\PROJECTS\REPOS\hawkinsops-site\artifacts\repo_hawkinsops-site\.git\config","","unsupported_or_review_op:EXCLUDED"
"P05_000015","SKIP","C:\RH\OPS\PROJECTS\REPOS\hawkinsops-site\artifacts\repo_hawkinsops-site\.git\description","","unsupported_or_review_op:EXCLUDED"
"P05_000016","SKIP","C:\RH\OPS\PROJECTS\REPOS\hawkinsops-site\artifacts\repo_hawkinsops-site\.git\FETCH_HEAD","","unsupported_or_review_op:EXCLUDED"
"P05_000017","SKIP","C:\RH\OPS\PROJECTS\REPOS\hawkinsops-site\artifacts\repo_hawkinsops-site\.git\HEAD","","unsupported_or_review_op:EXCLUDED"
"P05_000018","SKIP","C:\RH\OPS\PROJECTS\REPOS\hawkinsops-site\artifacts\repo_hawkinsops-site\.git\index","","unsupported_or_review_op:EXCLUDED"
"P05_000019","SKIP","C:\RH\OPS\PROJECTS\REPOS\hawkinsops-site\artifacts\repo_hawkinsops-site\.git\packed-refs","","unsupported_or_review_op:EXCLUDED"
"P05_000020","SKIP","C:\RH\OPS\PROJECTS\REPOS\hawkinsops-site\artifacts\repo_hawkinsops-site\.git\hooks\applypatch-msg.sample","","unsupported_or_review_op:EXCLUDED"
"P05_000021","SKIP","C:\RH\OPS\PROJECTS\REPOS\hawkinsops-site\artifacts\repo_hawkinsops-site\.git\hooks\commit-msg.sample","","unsupported_or_review_op:EXCLUDED"
"P05_000022","SKIP","C:\RH\OPS\PROJECTS\REPOS\hawkinsops-site\artifacts\repo_hawkinsops-site\.git\hooks\fsmonitor-watchman.sample","","unsupported_or_review_op:EXCLUDED"
"P05_000023","SKIP","C:\RH\OPS\PROJECTS\REPOS\hawkinsops-site\artifacts\repo_hawkinsops-site\.git\hooks\post-update.sample","","unsupported_or_review_op:EXCLUDED"
"P05_000024","SKIP","C:\RH\OPS\PROJECTS\REPOS\hawkinsops-site\artifacts\repo_hawkinsops-site\.git\hooks\pre-applypatch.sample","","unsupported_or_review_op:EXCLUDED"
"P05_000025","SKIP","C:\RH\OPS\PROJECTS\REPOS\hawkinsops-site\artifacts\repo_hawkinsops-site\.git\hooks\pre-commit.sample","","unsupported_or_review_op:EXCLUDED"
"P05_000026","SKIP","C:\RH\OPS\PROJECTS\REPOS\hawkinsops-site\artifacts\repo_hawkinsops-site\.git\hooks\pre-merge-commit.sample","","unsupported_or_review_op:EXCLUDED"
"P05_000027","SKIP","C:\RH\OPS\PROJECTS\REPOS\hawkinsops-site\artifacts\repo_hawkinsops-site\.git\hooks\pre-push.sample","","unsupported_or_review_op:EXCLUDED"
"P05_000028","SKIP","C:\RH\OPS\PROJECTS\REPOS\hawkinsops-site\artifacts\repo_hawkinsops-site\.git\hooks\pre-rebase.sample","","unsupported_or_review_op:EXCLUDED"
"P05_000029","SKIP","C:\RH\OPS\PROJECTS\REPOS\hawkinsops-site\artifacts\repo_hawkinsops-site\.git\hooks\pre-receive.sample","","unsupported_or_review_op:EXCLUDED"
"P05_000030","SKIP","C:\RH\OPS\PROJECTS\REPOS\hawkinsops-site\artifacts\repo_hawkinsops-site\.git\hooks\prepare-commit-msg.sample","","unsupported_or_review_op:EXCLUDED"
"P05_000031","SKIP","C:\RH\OPS\PROJECTS\REPOS\hawkinsops-site\artifacts\repo_hawkinsops-site\.git\hooks\push-to-checkout.sample","","unsupported_or_review_op:EXCLUDED"
"P05_000032","SKIP","C:\RH\OPS\PROJECTS\REPOS\hawkinsops-site\artifacts\repo_hawkinsops-site\.git\hooks\sendemail-validate.sample","","unsupported_or_review_op:EXCLUDED"
"P05_000033","SKIP","C:\RH\OPS\PROJECTS\REPOS\hawkinsops-site\artifacts\repo_hawkinsops-site\.git\hooks\update.sample","","unsupported_or_review_op:EXCLUDED"
"P05_000034","SKIP","C:\RH\OPS\PROJECTS\REPOS\hawkinsops-site\artifacts\repo_hawkinsops-site\.git\info\exclude","","unsupported_or_review_op:EXCLUDED"
"P05_000035","SKIP","C:\RH\OPS\PROJECTS\REPOS\hawkinsops-site\artifacts\repo_hawkinsops-site\.git\logs\HEAD","","unsupported_or_review_op:EXCLUDED"
"P05_000036","SKIP","C:\RH\OPS\PROJECTS\REPOS\hawkinsops-site\artifacts\repo_hawkinsops-site\.git\logs\refs\heads\main","","unsupported_or_review_op:EXCLUDED"
"P05_000037","SKIP","C:\RH\OPS\PROJECTS\REPOS\hawkinsops-site\artifacts\repo_hawkinsops-site\.git\logs\refs\remotes\origin\HEAD","","unsupported_or_review_op:EXCLUDED"
"P05_000038","SKIP","C:\RH\OPS\PROJECTS\REPOS\hawkinsops-site\artifacts\repo_hawkinsops-site\.git\objects\pack\pack-fdd29fe54155cbd891cf25f5977b6fa7a2f59cd3.idx","","unsupported_or_review_op:EXCLUDED"
"P05_000039","SKIP","C:\RH\OPS\PROJECTS\REPOS\hawkinsops-site\artifacts\repo_hawkinsops-site\.git\objects\pack\pack-fdd29fe54155cbd891cf25f5977b6fa7a2f59cd3.pack","","unsupported_or_review_op:EXCLUDED"
"P05_000040","SKIP","C:\RH\OPS\PROJECTS\REPOS\hawkinsops-site\artifacts\repo_hawkinsops-site\.git\objects\pack\pack-fdd29fe54155cbd891cf25f5977b6fa7a2f59cd3.rev","","unsupported_or_review_op:EXCLUDED"
"P05_000041","SKIP","C:\RH\OPS\PROJECTS\REPOS\hawkinsops-site\artifacts\repo_hawkinsops-site\.git\refs\heads\main","","unsupported_or_review_op:EXCLUDED"
"P05_000042","SKIP","C:\RH\OPS\PROJECTS\REPOS\hawkinsops-site\artifacts\repo_hawkinsops-site\.git\refs\remotes\origin\HEAD","","unsupported_or_review_op:EXCLUDED"
"P05_000043","MOVE","C:\RH\OPS\PROJECTS\REPOS\hawkinsops-site\artifacts\repo_hawkinsops-site\hawkinsops-v2\apple-touch-icon.png","C:\RH\OPS\PROJECTS\PROJECTS\REPOS\hawkinsops-site\artifacts\repo_hawkinsops-site\hawkinsops-v2\apple-touch-icon.png","EXECUTED"
"P05_000044","MOVE","C:\RH\OPS\PROJECTS\REPOS\hawkinsops-site\artifacts\repo_hawkinsops-site\hawkinsops-v2\favicon-16.png","C:\RH\OPS\PROJECTS\PROJECTS\REPOS\hawkinsops-site\artifacts\repo_hawkinsops-site\hawkinsops-v2\favicon-16.png","EXECUTED"
"P05_000045","MOVE","C:\RH\OPS\PROJECTS\REPOS\hawkinsops-site\artifacts\repo_hawkinsops-site\hawkinsops-v2\favicon-32.png","C:\RH\OPS\PROJECTS\PROJECTS\REPOS\hawkinsops-site\artifacts\repo_hawkinsops-site\hawkinsops-v2\favicon-32.png","EXECUTED"
"P05_000046","MOVE","C:\RH\OPS\PROJECTS\REPOS\hawkinsops-site\artifacts\repo_hawkinsops-site\hawkinsops-v2\index.html","C:\RH\OPS\PROJECTS\PROJECTS\REPOS\hawkinsops-site\artifacts\repo_hawkinsops-site\hawkinsops-v2\index.html","EXECUTED"
"P05_000047","MOVE","C:\RH\OPS\PROJECTS\REPOS\hawkinsops-site\artifacts\repo_hawkinsops-site\hawkinsops-v2\og.png","C:\RH\OPS\PROJECTS\PROJECTS\REPOS\hawkinsops-site\artifacts\repo_hawkinsops-site\hawkinsops-v2\og.png","EXECUTED"
"P05_000048","MOVE","C:\RH\OPS\PROJECTS\REPOS\hawkinsops-soc-content\artifacts\repo_hawkinsops-soc-content\00-Hunt-Matrix.md","C:\RH\OPS\PROJECTS\PROJECTS\REPOS\hawkinsops-soc-content\artifacts\repo_hawkinsops-soc-content\00-Hunt-Matrix.md","EXECUTED"
"P05_000049","MOVE","C:\RH\OPS\PROJECTS\REPOS\hawkinsops-soc-content\artifacts\repo_hawkinsops-soc-content\00-Playbook-Index.md","C:\RH\OPS\PROJECTS\PROJECTS\REPOS\hawkinsops-soc-content\artifacts\repo_hawkinsops-soc-content\00-Playbook-Index.md","EXECUTED"
"P05_000050","MOVE","C:\RH\OPS\PROJECTS\REPOS\hawkinsops-soc-content\artifacts\repo_hawkinsops-soc-content\00-Rule-Index.md","C:\RH\OPS\PROJECTS\PROJECTS\REPOS\hawkinsops-soc-content\artifacts\repo_hawkinsops-soc-content\00-Rule-Index.md","EXECUTED"
"P05_000051","MOVE","C:\RH\OPS\PROJECTS\REPOS\hawkinsops-soc-content\artifacts\repo_hawkinsops-soc-content\account_manipulation.yml","C:\RH\OPS\PROJECTS\PROJECTS\REPOS\hawkinsops-soc-content\artifacts\repo_hawkinsops-soc-content\account_manipulation.yml","EXECUTED"
"P05_000052","MOVE","C:\RH\OPS\PROJECTS\REPOS\hawkinsops-soc-content\artifacts\repo_hawkinsops-soc-content\ad_enumeration.yml","C:\RH\OPS\PROJECTS\PROJECTS\REPOS\hawkinsops-soc-content\artifacts\repo_hawkinsops-soc-content\ad_enumeration.yml","EXECUTED"
"P05_000053","MOVE","C:\RH\OPS\PROJECTS\REPOS\hawkinsops-soc-content\artifacts\repo_hawkinsops-soc-content\always_install_elevated.yml","C:\RH\OPS\PROJECTS\PROJECTS\REPOS\hawkinsops-soc-content\artifacts\repo_hawkinsops-soc-content\always_install_elevated.yml","EXECUTED"
"P05_000054","MOVE","C:\RH\OPS\PROJECTS\REPOS\hawkinsops-soc-content\artifacts\repo_hawkinsops-soc-content\amsi_bypass.yml","C:\RH\OPS\PROJECTS\PROJECTS\REPOS\hawkinsops-soc-content\artifacts\repo_hawkinsops-soc-content\amsi_bypass.yml","EXECUTED"
"P05_000055","MOVE","C:\RH\OPS\PROJECTS\REPOS\hawkinsops-soc-content\artifacts\repo_hawkinsops-soc-content\archive_collected_data.yml","C:\RH\OPS\PROJECTS\PROJECTS\REPOS\hawkinsops-soc-content\artifacts\repo_hawkinsops-soc-content\archive_collected_data.yml","EXECUTED"
"P05_000056","MOVE","C:\RH\OPS\PROJECTS\REPOS\hawkinsops-soc-content\artifacts\repo_hawkinsops-soc-content\assumptions_and_placeholders.md","C:\RH\OPS\PROJECTS\PROJECTS\REPOS\hawkinsops-soc-content\artifacts\repo_hawkinsops-soc-content\assumptions_and_placeholders.md","EXECUTED"
"P05_000057","MOVE","C:\RH\OPS\PROJECTS\REPOS\hawkinsops-soc-content\artifacts\repo_hawkinsops-soc-content\at_command.yml","C:\RH\OPS\PROJECTS\PROJECTS\REPOS\hawkinsops-soc-content\artifacts\repo_hawkinsops-soc-content\at_command.yml","EXECUTED"
"P05_000058","MOVE","C:\RH\OPS\PROJECTS\REPOS\hawkinsops-soc-content\artifacts\repo_hawkinsops-soc-content\audio_capture.yml","C:\RH\OPS\PROJECTS\PROJECTS\REPOS\hawkinsops-soc-content\artifacts\repo_hawkinsops-soc-content\audio_capture.yml","EXECUTED"
"P05_000059","MOVE","C:\RH\OPS\PROJECTS\REPOS\hawkinsops-soc-content\artifacts\repo_hawkinsops-soc-content\bcdedit_boot_config.yml","C:\RH\OPS\PROJECTS\PROJECTS\REPOS\hawkinsops-soc-content\artifacts\repo_hawkinsops-soc-content\bcdedit_boot_config.yml","EXECUTED"
"P05_000060","MOVE","C:\RH\OPS\PROJECTS\REPOS\hawkinsops-soc-content\artifacts\repo_hawkinsops-soc-content\browser_credential_theft.yml","C:\RH\OPS\PROJECTS\PROJECTS\REPOS\hawkinsops-soc-content\artifacts\repo_hawkinsops-soc-content\browser_credential_theft.yml","EXECUTED"
